#T Cv <E> <E^2>
0.01 98.88529313506196 0.497865182244045 0.2527582690044023
0.01098196392785571 99.09563141439679 0.5459542225442311 0.3039871196541182
0.01196392785571142 99.33800003583363 0.5943086200692136 0.3602647586333697
0.01294589178356714 98.84222059228553 0.6425995400565028 0.4211199352547351
0.01392785571142285 97.48088196536965 0.6899335845946868 0.4852189378606921
0.01490981963927856 96.18628629948677 0.7358727456580587 0.5517760349508044
0.01589178356713427 95.81351779631085 0.7809501107576504 0.6214532237458843
0.01687374749498998 96.57456612207409 0.8262222946309256 0.6959041468470004
0.01785571142284569 98.29691818171133 0.8727348802138341 0.7770645051658212
0.0188376753507014 100.6804020895611 0.9212913715088167 0.8667621379808007
0.01981963927855711 103.3324232218528 0.9723564867732382 0.9664270785887775
0.02080160320641283 105.7779699929233 1.025964680892164 1.076739027540989
0.02178356713426854 107.560982141328 1.081681647450211 1.197349242240719
0.02276553106212425 108.3903909571795 1.138695232842154 1.326888786449714
0.02374749498997996 108.2278993657634 1.196028919243887 1.463322422099195
0.02472945891783567 107.259890940025 1.252785747875655 1.604489195268163
0.02571142284569138 105.7842806363085 1.308317212411701 1.748571647951819
0.02669338677354709 104.0928681134172 1.362272273716127 1.89432891215499
0.02767535070140281 102.4057530014883 1.414554041713734 2.041102015206287
0.02865731462925852 100.8608330507034 1.465240640016789 2.188699169227098
0.02963927855711423 99.53150651315514 1.514512079091383 2.337259614023294
0.03062124248496994 98.44778788758791 1.56259764674317 2.487138982201497
0.03160320641282565 97.61063804139565 1.609740970764129 2.638817720240327
0.03258517034068136 97.00027760062444 1.656175895768481 2.792823178807187
0.03356713426853708 96.58261805612014 1.702109279076301 2.949663079408763
0.03454909819639279 96.31647347365924 1.74771038016471 3.109776776955961
0.0355310621242485 96.16154024588587 1.793107803305223 3.273512525068579
0.03651302605210421 96.08539994182601 1.838393969606525 3.44113349206774
0.03749498997995993 96.06759684649717 1.883635161938119 3.612846672542586
0.03847695390781564 96.09979294033681 1.928883674210085 3.788841864858653
0.03945891783567135 96.18236243447625 1.974188282640544 3.96932559980682
0.04044088176352706 96.31887330975985 2.019600188214007 4.154537812564724
0.04142284569138277 96.51034802730952 2.065173276861132 4.344745543896706
0.04240480961923848 96.75098806369084 2.110959346577634 4.540215487943811
0.04338677354709419 97.02640646393175 2.157000314265381 4.741173433173533
0.0443687374749499 97.31461975220849 2.203320053027129 4.947762100414625
0.04535070140280562 97.58933416749846 2.249918392331037 5.160009095083615
0.04633266533066133 97.82456525994002 2.29676909145822 5.377814013014881
0.04731462925851704 97.99942313383555 2.343822526710048 5.600959104107911
0.04829659318637275 98.10198321063768 2.391012706504845 5.829142568562262
0.04927855711422846 98.13148843595 2.438267312204057 6.062028846330577
0.05026052104208417 98.09858499808271 2.485518940720527 6.29930720103367
0.05124248496993988 98.02374699919289 2.532715660520565 6.540749000495875
0.05222444889779559 97.93438100533538 2.579829323132779 6.786255234713472
0.05320641282565131 97.86125781391024 2.626860646563125 7.035888361661498
0.05418837675350702 97.83490000420383 2.673840726151171 7.289885680878687
0.05517034068136273 97.88241289023975 2.720829183541653 7.548654329870573
0.05615230460921844 98.02505464891649 2.767909550425512 7.812750181702532
0.05713426853707416 98.27665984446867 2.815182682266633 8.082844224862297
0.05811623246492987 98.64289515188 2.862759038387968 8.359680518825915
0.05909819639278558 99.12124635888424 2.910750600439033 8.644029766630421
0.06008016032064129 99.70160280992485 2.959263082821207 8.936642174400763
0.061062124248497 100.3673024311831 3.008388954028026 9.238202767212067
0.06204408817635271 101.0965105796869 3.058201657928295 9.549291807787625
0.06302605210420842 101.863817370598 3.10875130536644 9.870352451320473
0.06400801603206413 102.6419452422805 3.160061997102318 10.20166725000396
0.06498997995991984 103.4034612495379 3.212130834424431 10.54334456297439
0.06597194388777555 104.1223903100802 3.264928570901279 10.89531531065132
0.06695390781563126 104.7756309955734 3.318401758997917 11.25733984441316
0.06793587174348698 105.3440883091187 3.372476154232277 11.62902402250031
0.06891783567134269 105.8134598033993 3.427061065560642 12.00984295518825
0.0698997995991984 106.174641248537 3.482054292304219 12.39917037965271
0.07088176352705411 106.4237522782272 3.537347271383962 12.79631131134318
0.07186372745490982 106.5618161024191 3.592830075834537 13.20053553240128
0.07284569138276553 106.5941554872943 3.648395953478802 13.61110962250617
0.07382765531062124 106.5295860483672 3.70394516584407 14.02732558291706
0.07480961923847695 106.3794956807824 3.75938797171633 14.44852459285701
0.07579158316633267 106.1568960006056 3.814646686325717 14.87411499766188
0.07677354709418838 105.8755201111114 3.869656826386655 15.30358418930811
0.07775551102204409 105.5490238554737 3.924367416094838 15.73650454272398
0.0787374749498998 105.1903283090014 3.978740575837639 16.17253397517243
0.07971943887775551 104.8111223811888 4.032750543037788 16.61141198084257
0.08070140280561122 104.4215280983261 4.086382284812122 17.05295215699045
0.08168336673346693 104.0299185179085 4.139629858122409 17.49703229341738
0.08266533066132264 103.6428695559241 4.19249465865981 17.94358306392378
0.08364729458917836 103.265222030421 4.244983678601726 18.39257625991512
0.08462925851703407 102.9002282913211 4.297107868930568 18.84401336518174
0.08561122244488978 102.5497581405374 4.348880676861615 19.29791510694139
0.08659318637274549 102.214540667874 4.400316804916491 19.75431244722943
0.0875751503006012 101.8944214838205 4.451431216575568 20.21323931270665
0.08855711422845691 101.588618163637 4.502238394911913 20.6747272081249
0.08953907815631262 101.2959602186754 4.552751845440159 21.13880172456233
0.09052104208416833 101.015103321175 4.602983822674103 21.6054808413654
0.09150300601202405 100.7447107345863 4.65294525139644 22.0747748320744
